ReportTitle
"Water System Details

3/2/2022 10:18:20 AM"

TINWSYS_IS_NUMBER,Regulating_Agency,NUMBER0,SYSTEM_NAME,SYSTEM_STATUS,STATUS_DATE,D_PRIN_CNTY_SVD_NM,D_FED_PRIM_SRC_CD,OWNER_TYPE_CODE,FED_TYPE,STATE_TYPE,D_POPULATION_COUNT,NME,SVC_CONNECT_ALL,INDICATOR_VALUE_CD,INDICATOR_NAME
60,DISTRICT 01 - KLAMATH,CA1200643,BEACH CREEK MOBILE HOME PARK,A,3/22/1979,HUMBOLDT,SW ,P,C,C,67,R - MOBILE HOME PARK,24,DAVCS,F_CD
61,DISTRICT 01 - KLAMATH,CA1200706,TRINIDAD EXTENDED STAY RV,A,3/22/1979,HUMBOLDT,SW ,P,C,C,130,R - MOBILE HOME PARK,72,SC   ,F_CD
62,LPA43 - IMPERIAL COUNTY,CA1300540,COCO PALMS MOBILE HOME PARK,A,7/21/2016,IMPERIAL,GW ,P,NC,NC,25,R - MOBILE HOME PARK,15,N1   ,F_CD
63,LPA43 - IMPERIAL COUNTY,CA1300546,GOLD ROCK RANCH,A,7/21/2016,IMPERIAL,GW ,P,C,C,50,R - MOBILE HOME PARK,76,SC   ,F_CD
64,LPA43 - IMPERIAL COUNTY,CA1300550,COUNTRY LIFE MH & RV PARK,A,7/21/2016,IMPERIAL,SW ,P,C,C,600,R - MOBILE HOME PARK,306,SC   ,F_CD
65,LPA43 - IMPERIAL COUNTY,CA1300555,MITCHELLS CAMP FAMILY ASSOC.,A,7/21/2016,IMPERIAL,GW ,P,C,C,175,R - MOBILE HOME PARK,70,SC   ,F_CD
66,LPA43 - IMPERIAL COUNTY,CA1300559,PILOT KNOB RV RESORT,A,8/4/2015,IMPERIAL,GW ,P,NC,NC,500,R - MOBILE HOME PARK,223,N1   ,F_CD
67,LPA43 - IMPERIAL COUNTY,CA1300564,SALAMANDER TRAILER PARK,A,8/4/2015,IMPERIAL,GW ,P,NC,NC,60,R - MOBILE HOME PARK,18,N1   ,F_CD
68,LPA43 - IMPERIAL COUNTY,CA1300572,VALLEY MOBILE HOME PARK,A,7/1/2014,IMPERIAL,SW ,P,C,C,70,R - MOBILE HOME PARK,22,SC   ,F_CD
69,LPA43 - IMPERIAL COUNTY,CA1300574,WELL TRAILER PARK THE,A,7/21/2016,IMPERIAL,GW ,P,NC,NC,30,R - MOBILE HOME PARK,6,N1   ,F_CD
70,LPA43 - IMPERIAL COUNTY,CA1300575,DATE GARDENS MOBILE HOME PARK,A,7/21/2016,IMPERIAL,SW ,P,C,C,101,R - MOBILE HOME PARK,72,SC   ,F_CD
71,LPA43 - IMPERIAL COUNTY,CA1300620,RIO BEND RV GOLF RESORT & STORM CROSSING,A,7/21/2016,IMPERIAL,SW ,P,C,C,500,R - MOBILE HOME PARK,68,SC   ,F_CD
72,LPA43 - IMPERIAL COUNTY,CA1300622,SPORTSMANS PARADISE,A,7/21/2016,IMPERIAL,GW ,P,C,C,60,R - MOBILE HOME PARK,30,SC   ,F_CD
73,LPA43 - IMPERIAL COUNTY,CA1300624,GORDON'S WELL #1,A,8/4/2015,IMPERIAL,GW ,P,NC,NC,50,R - MOBILE HOME PARK,43,N1   ,F_CD
74,LPA43 - IMPERIAL COUNTY,CA1300626,SUNBEAM LAKE RV RESORT,A,8/4/2015,IMPERIAL,SWP,P,C,C,650,R - MOBILE HOME PARK,1,N1   ,F_CD
75,LPA43 - IMPERIAL COUNTY,CA1300628,IMPERIAL LAKES INC.,A,7/21/2016,IMPERIAL,SW ,P,C,C,40,R - MOBILE HOME PARK,15,SC   ,F_CD
76,LPA43 - IMPERIAL COUNTY,CA1300629,JACKSON HIDE-A-WAY,A,7/21/2016,IMPERIAL,GW ,P,C,C,29,R - MOBILE HOME PARK,26,SC   ,F_CD
77,LPA43 - IMPERIAL COUNTY,CA1300657,CHRISTIAN SERVICE CENTER OF SENATOR WASH,A,7/21/2016,IMPERIAL,GW ,P,NC,NC,1200,R - MOBILE HOME PARK,57,N1   ,F_CD
78,LPA43 - IMPERIAL COUNTY,CA1300662,GORDON'S WELL PARK # 2,A,7/21/2016,IMPERIAL,GW ,P,NC,NC,50,R - MOBILE HOME PARK,62,N1   ,F_CD
79,DISTRICT 13 - SAN BERNARDINO,CA1400020,ABERDEEN WATER SYSTEM,A,4/30/2015,INYO,GW ,P,C,C,23,R - MOBILE HOME PARK,75,SC   ,F_CD
80,DISTRICT 13 - SAN BERNARDINO,CA1400030,GLENWOOD MOBILE ESTATES,A,4/30/2015,INYO,GW ,P,C,C,448,R - MOBILE HOME PARK,170,SC   ,F_CD
81,DISTRICT 13 - SAN BERNARDINO,CA1400034,KEOUGH'S HOT SPRINGS,A,4/30/2015,INYO,GW ,P,C,C,175,R - MOBILE HOME PARK,36,SC   ,F_CD
82,DISTRICT 13 - SAN BERNARDINO,CA1400037,FOOTHILL MOBILE HOME PARK,A,4/30/2015,INYO,GW ,P,C,C,60,R - MOBILE HOME PARK,48,SC   ,F_CD
83,DISTRICT 13 - SAN BERNARDINO,CA1400059,BROOKSIDE MOBILE HOME PARK,A,4/30/2015,INYO,GW ,P,C,C,126,R - MOBILE HOME PARK,45,SC   ,F_CD
84,DISTRICT 13 - SAN BERNARDINO,CA1400099,MOUNTAIN VIEW TRAILER COURT,A,4/30/2015,INYO,GW ,L,C,C,53,R - MOBILE HOME PARK,24,SC   ,F_CD
85,DISTRICT 13 - SAN BERNARDINO,CA1400144,SUNLAND VILLAGE MOBILE HOME PARK,A,4/30/2015,INYO,GW ,P,C,C,42,R - MOBILE HOME PARK,26,SC   ,F_CD
86,DISTRICT 13 - SAN BERNARDINO,CA1410007,HIGHLAND MOBILE HOME PARK,A,1/1/1976,INYO,GW ,P,C,C,1400,R - MOBILE HOME PARK,500,SC   ,F_CD
87,DISTRICT 12 - VISALIA,CA1500380,DE RANCHO Y MOBILE VILLA WATER,A,3/22/1979,KERN,GW ,P,C,C,200,R - MOBILE HOME PARK,90,SC   ,F_CD
88,DISTRICT 19 - TEHACHAPI,CA1500396,DESERT PARADISE RV PARK WATER SYSTEM,A,3/22/1979,KERN,GW ,P,NC,NC,25,R - MOBILE HOME PARK,25,N1   ,F_CD
89,DISTRICT 12 - VISALIA,CA1500452,RIVERDALE VILLAGE,A,3/22/1979,KERN,GW ,P,C,C,750,R - MOBILE HOME PARK,290,SC   ,F_CD
90,DISTRICT 19 - TEHACHAPI,CA1500459,LAKE OF THE WOODS MOBILE VILLAGE,A,3/22/1979,KERN,GW ,P,C,C,82,R - MOBILE HOME PARK,86,SC   ,F_CD
91,DISTRICT 19 - TEHACHAPI,CA1500481,RIVERNOOK CAMPGROUND,A,3/22/1979,KERN,GW ,P,C,C,877,R - MOBILE HOME PARK,290,SC   ,F_CD
