ReportTitle
"Water System Details

3/2/2022 10:18:20 AM"

TINWSYS_IS_NUMBER,Regulating_Agency,NUMBER0,SYSTEM_NAME,SYSTEM_STATUS,STATUS_DATE,D_PRIN_CNTY_SVD_NM,D_FED_PRIM_SRC_CD,OWNER_TYPE_CODE,FED_TYPE,STATE_TYPE,D_POPULATION_COUNT,NME,SVC_CONNECT_ALL,INDICATOR_VALUE_CD,INDICATOR_NAME
407,LPA82 - TEHAMA COUNTY,CA5200510,RIVER RANCH MOBILE HOME PARK,A,8/3/2016,TEHAMA,GW ,P,C,C,305,R - MOBILE HOME PARK,109,SC   ,F_CD
408,LPA82 - TEHAMA COUNTY,CA5200512,BEND MOBILEHOME & RV PARK,A,8/3/2016,TEHAMA,GW ,P,C,C,99,R - MOBILE HOME PARK,42,SC   ,F_CD
409,LPA82 - TEHAMA COUNTY,CA5200514,GOLDEN ACRES TRAILER PARK,A,2/22/2022,TEHAMA,GW ,P,C,C,81,R - MOBILE HOME PARK,16,DD   ,F_CD
410,LPA82 - TEHAMA COUNTY,CA5200521,ANTELOPE CREEK MHP,A,8/3/2016,TEHAMA,GW ,P,C,C,175,R - MOBILE HOME PARK,60,SC   ,F_CD
411,LPA82 - TEHAMA COUNTY,CA5200526,HIDDEN HARBOR MARINA & RVP,A,8/3/2016,TEHAMA,GW ,P,C,C,70,R - MOBILE HOME PARK,70,N1   ,F_CD
412,LPA82 - TEHAMA COUNTY,CA5200531,RIVER POINTE LANDING MHP,A,8/3/2016,TEHAMA,GW ,P,C,C,104,R - MOBILE HOME PARK,40,SC   ,F_CD
413,LPA82 - TEHAMA COUNTY,CA5200539,FRIENDLY ACRES MHP,A,8/3/2016,TEHAMA,GW ,P,C,C,75,R - MOBILE HOME PARK,51,SC   ,F_CD
414,LPA82 - TEHAMA COUNTY,CA5200546,ANTELOPE-HOMEWOOD MHP,A,8/3/2016,TEHAMA,GW ,P,C,C,140,R - MOBILE HOME PARK,24,SC   ,F_CD
415,LPA82 - TEHAMA COUNTY,CA5200547,GATEWAY MOBILE HOME PARK,A,8/3/2016,TEHAMA,GW ,P,C,C,75,R - MOBILE HOME PARK,32,SC   ,F_CD
416,LPA82 - TEHAMA COUNTY,CA5200549,WILLOW TRAILER PARK,A,7/6/2017,TEHAMA,GW ,P,NP,SSWS,22,R - MOBILE HOME PARK,7,DD   ,F_CD
417,LPA82 - TEHAMA COUNTY,CA5200556,MAYWOOD MOBILE HOME PARK,A,8/3/2016,TEHAMA,GW ,P,C,C,140,R - MOBILE HOME PARK,50,SC   ,F_CD
418,LPA82 - TEHAMA COUNTY,CA5200558,RIVER VIEW MHC LLC,A,8/3/2016,TEHAMA,GW ,P,C,C,100,R - MOBILE HOME PARK,55,SC   ,F_CD
419,LPA82 - TEHAMA COUNTY,CA5200569,KOUNTRY KORNERS MHP,A,8/3/2016,TEHAMA,GW ,P,NP,SSWS,17,R - MOBILE HOME PARK,14,SC   ,F_CD
420,LPA82 - TEHAMA COUNTY,CA5200657,NORCAL WATER WORKS,A,8/3/2016,TEHAMA,GW ,P,C,C,45,R - MOBILE HOME PARK,17,     ,F_CD
421,DISTRICT 01 - KLAMATH,CA5301008,PINE COVE RV PARK,A,1/1/1976,TRINITY,GW ,P,C,C,223,R - MOBILE HOME PARK,81,SC   ,F_CD
422,DISTRICT 01 - KLAMATH,CA5301012,TRINITY RIVER RESORT,A,1/1/1976,TRINITY,GW ,P,NP,NC,10,R - MOBILE HOME PARK,1,N1   ,F_CD
423,DISTRICT 01 - KLAMATH,CA5303002,INDIAN CREEK TRAILER PARK,A,1/1/1976,TRINITY,SW ,P,C,C,36,R - MOBILE HOME PARK,35,DAVCS,F_CD
424,DISTRICT 01 - KLAMATH,CA5304113,DEL LOMA RV PARK & CG,A,1/1/1976,TRINITY,GW ,P,NC,NC,157,R - MOBILE HOME PARK,62,N1   ,F_CD
425,DISTRICT 24 - TULARE,CA5400504,PORTERVILLE MOBILE VILLAGE,A,4/28/2014,TULARE,GW ,P,C,C,154,R - MOBILE HOME PARK,62,SC   ,F_CD
426,DISTRICT 24 - TULARE,CA5400511,POSO PARK ASSN,A,4/28/2014,TULARE,GW ,P,NC,NC,72,R - MOBILE HOME PARK,52,N1   ,F_CD
427,DISTRICT 24 - TULARE,CA5400523,EL MONTE VILLAGE MHP,A,4/28/2014,TULARE,GW ,P,C,C,100,R - MOBILE HOME PARK,47,DAVCS,F_CD
428,DISTRICT 24 - TULARE,CA5400529,"SHADY GROVE  MHP, LLC",A,4/28/2014,TULARE,GW ,P,C,C,95,R - MOBILE HOME PARK,42,SC   ,F_CD
429,DISTRICT 24 - TULARE,CA5400629,SEQUOIA RV RANCH,A,4/28/2014,TULARE,GW ,P,NC,NC,80,R - MOBILE HOME PARK,21,N1   ,F_CD
430,DISTRICT 24 - TULARE,CA5400660,LAKE SUCCESS MOBILE LODGE,A,4/28/2014,TULARE,GW ,P,C,C,80,R - MOBILE HOME PARK,19,SC   ,F_CD
431,DISTRICT 24 - TULARE,CA5400743,SEQUOIA MOTEL,A,2/18/2014,TULARE,GW ,P,NC,NC,54,R - MOBILE HOME PARK,17,N1   ,F_CD
432,DISTRICT 24 - TULARE,CA5400751,THREE RIVERS HIDEAWAY,A,4/28/2014,TULARE,GW ,P,NC,NC,134,R - MOBILE HOME PARK,57,N1   ,F_CD
433,DISTRICT 24 - TULARE,CA5400819,MOUNTAIN VIEW MHP,A,4/28/2014,TULARE,GW ,P,C,C,44,R - MOBILE HOME PARK,24,SC   ,F_CD
434,DISTRICT 24 - TULARE,CA5402057,DEER CREEK RV PARK,A,4/28/2014,TULARE,GW ,P,NC,NC,123,R - MOBILE HOME PARK,84,N1   ,F_CD
435,DISTRICT 24 - TULARE,CA5403051,FRIENDS RV PARK,A,4/28/2014,TULARE,GW ,P,NC,NC,39,R - MOBILE HOME PARK,44,N1   ,F_CD
436,DISTRICT 11 - MERCED,CA5500086,SONORA ESTATES MOBILE HOME PARK,A,3/22/1979,TUOLUMNE,GW ,P,C,C,231,R - MOBILE HOME PARK,87,SC   ,F_CD
437,DISTRICT 11 - MERCED,CA5500092,PONDEROSA MOBILE HOME PARK,A,3/22/1979,TUOLUMNE,GW ,P,C,C,52,R - MOBILE HOME PARK,58,SC   ,F_CD
438,DISTRICT 11 - MERCED,CA5500096,SIERRA TWAIN HARTE MHP,A,3/22/1979,TUOLUMNE,GW ,P,C,C,129,R - MOBILE HOME PARK,46,SC   ,F_CD
439,DISTRICT 11 - MERCED,CA5500104,CASCADE ESTATES,A,3/22/1979,TUOLUMNE,GW ,P,C,C,316,R - MOBILE HOME PARK,113,SC   ,F_CD
440,DISTRICT 11 - MERCED,CA5500116,PEPPERMINT CREEK MHP,A,3/22/1979,TUOLUMNE,SW ,P,C,C,280,R - MOBILE HOME PARK,101,SC   ,F_CD
441,DISTRICT 11 - MERCED,CA5500120,49ER TRAILER RANCH,A,3/22/1979,TUOLUMNE,GW ,P,C,C,121,R - MOBILE HOME PARK,80,DAVCS,F_CD
442,DISTRICT 11 - MERCED,CA5500124,MONO VISTA RANCH MHP,A,3/22/1979,TUOLUMNE,GW ,P,C,C,105,R - MOBILE HOME PARK,30,SC   ,F_CD
443,DISTRICT 11 - MERCED,CA5500125,MOTHER LODE MOBILE ESTATES,A,3/22/1979,TUOLUMNE,GW ,P,C,C,210,R - MOBILE HOME PARK,75,DAVCS,F_CD
444,DISTRICT 11 - MERCED,CA5500128,GOLD RUSH MOBILE HOME PARK,A,3/22/1979,TUOLUMNE,GU ,P,C,C,67,R - MOBILE HOME PARK,53,DAVCS,F_CD
445,DISTRICT 11 - MERCED,CA5500149,COLUMBIA MOBILE HOME PARK,A,3/22/1979,TUOLUMNE,GW ,P,C,C,88,R - MOBILE HOME PARK,63,DAVCS,F_CD
446,DISTRICT 11 - MERCED,CA5500193,TAMARRON MOBILE HOME PARK,A,1/21/1984,TUOLUMNE,GW ,P,C,C,225,R - MOBILE HOME PARK,100,DAVCS,F_CD
447,DISTRICT 11 - MERCED,CA5500243,RAMBLING HILLS ESTATES,A,8/22/1989,TUOLUMNE,GW ,P,C,C,78,R - MOBILE HOME PARK,38,SC   ,F_CD
448,DISTRICT 11 - MERCED,CA5500353,SIERRA VILLAGE MOBILE HOME PARK,A,10/17/1995,TUOLUMNE,GW ,P,C,C,30,R - MOBILE HOME PARK,30,SC   ,F_CD
449,DISTRICT 06 - SANTA BARBARA,CA5601106,ALTURAS FILLMORE MHP,A,3/22/1979,VENTURA,GW ,P,C,C,99,R - MOBILE HOME PARK,33,SC   ,F_CD
450,LPA87 - YOLO COUNTY,CA5700554,CAMPERS INN - RV & GOLF COURSE,A,8/8/2016,YOLO,GW ,P,C,C,120,R - MOBILE HOME PARK,68,SC   ,F_CD
451,LPA87 - YOLO COUNTY,CA5700584,SACWEST RV PARK AND CAMPGROUND,A,8/8/2016,YOLO,GW ,P,NC,NC,300,R - MOBILE HOME PARK,150,SC   ,F_CD
452,LPA87 - YOLO COUNTY,CA5700712,CAL AM - DUNNIGAN,A,8/8/2016,YOLO,GW ,P,C,C,400,R - MOBILE HOME PARK,150,SC   ,F_CD
453,LPA87 - YOLO COUNTY,CA5700720,FAYE PROPERTIES INC,A,7/5/2017,YOLO,GW ,P,NP,SSWS,10,R - MOBILE HOME PARK,12,SC   ,F_CD
454,LPA88 - YUBA COUNTY,CA5800821,HERITAGE PARK,A,7/28/2016,YUBA,GW ,P,C,C,26,R - MOBILE HOME PARK,20,,
455,LPA88 - YUBA COUNTY,CA5800823,COUNTRY AIR MOBILE HOME PARK,A,7/28/2016,YUBA,GW ,P,C,C,100,R - MOBILE HOME PARK,35,,
456,LPA88 - YUBA COUNTY,CA5800824,COUNTRY VILLAGE MOBILE HOME PARK,A,7/28/2016,YUBA,GW ,P,C,C,50,R - MOBILE HOME PARK,45,SC   ,F_CD
457,LPA88 - YUBA COUNTY,CA5800826,QUAIL RIDGE RV PARK,A,5/24/2018,YUBA,GW ,P,NC,NC,60,R - MOBILE HOME PARK,57,N1   ,F_CD
458,LPA88 - YUBA COUNTY,CA5800827,WHISPERING PINES MOBILE HOME PARK,A,7/28/2016,YUBA,GW ,P,C,C,25,R - MOBILE HOME PARK,19,SC   ,F_CD
459,LPA88 - YUBA COUNTY,CA5800828,COUNTRYSIDE MOBILE HOME PARK,A,7/28/2016,YUBA,GW ,P,C,C,185,R - MOBILE HOME PARK,86,SC   ,F_CD
460,LPA88 - YUBA COUNTY,CA5800832,CASTLEWOOD MOBILE HOME PARK,A,7/28/2016,YUBA,GW ,P,C,C,200,R - MOBILE HOME PARK,88,SC   ,F_CD
461,LPA88 - YUBA COUNTY,CA5800850,REBEL RIDGE VILLAGE,A,7/28/2016,YUBA,GW ,P,C,C,60,R - MOBILE HOME PARK,41,SC   ,F_CD

